item_type,item_age_years,item_condition,triage_action,user_age,app_sessions_per_month,distance_to_dropoff_km,points_redeemed_history,items_recycled_count
Monitor,5.9,Dead,Refurbish,38,2,10.0,647,0
Smartphone,7.5,Fair,Recycle,28,15,2.2,5303,7
Monitor,5.4,Excellent,Refurbish,58,11,12.5,3162,2
Peripherals,0.8,Broken,Recycle,20,27,4.1,902,7
Smartphone,9.5,Dead,Refurbish,51,24,8.1,4067,7
Peripherals,0.6,Broken,Recycle,35,17,9.1,9695,4
Laptop,9.3,Good,Recycle,32,16,5.8,5076,7
Smartphone,10.8,Dead,Recycle,42,15,10.1,2897,4
Peripherals,5.5,Good,Refurbish,32,23,4.1,9537,5
Laptop,6.7,Broken,Recycle,47,3,1.0,5562,0
Monitor,6.0,Dead,Recycle,34,20,14.4,8173,4
Laptop,5.0,Good,Refurbish,35,15,5.1,8681,5
Tablet,10.7,Dead,Recycle,48,24,10.8,5252,7
Laptop,10.8,Good,Recycle,60,19,7.9,7851,5
Laptop,4.4,Dead,Refurbish,35,28,10.2,8617,6
Tablet,7.6,Good,Recycle,52,29,2.1,7228,10
Peripherals,11.2,Dead,Recycle,30,13,8.0,5681,4
Peripherals,11.6,Excellent,Recycle,31,16,6.2,5595,6
Laptop,6.4,Broken,Recycle,53,23,7.1,7390,8
Tablet,5.7,Fair,Refurbish,35,12,14.5,3991,0
Tablet,3.7,Fair,Recycle,22,17,2.5,9599,6
Monitor,11.5,Good,Recycle,31,16,11.4,6462,3
Peripherals,2.1,Broken,Recycle,42,9,5.3,6368,1
Smartphone,7.2,Good,Recycle,61,29,4.7,8614,6
Peripherals,3.7,Fair,Refurbish,56,6,4.4,9406,5
Peripherals,3.7,Good,Refurbish,29,19,5.6,3942,5
Monitor,5.2,Dead,Recycle,57,23,5.7,1800,7
Smartphone,12.0,Excellent,Recycle,45,13,4.4,2377,4
Monitor,1.1,Good,Refurbish,52,21,10.2,7323,5
Smartphone,7.2,Good,Recycle,18,24,1.2,2103,4
Laptop,1.4,Fair,Refurbish,20,8,5.3,1271,2
Smartphone,2.3,Good,Recycle,60,12,4.6,5020,6
Monitor,5.6,Fair,Refurbish,24,9,11.4,434,1
Peripherals,6.4,Dead,Recycle,26,22,2.6,3598,10
Smartphone,3.5,Broken,Recycle,53,4,14.1,3771,0
Smartphone,4.1,Fair,Refurbish,40,13,3.0,8726,4
Tablet,1.5,Excellent,Refurbish,41,2,5.9,8572,1
Peripherals,4.0,Broken,Recycle,27,3,3.4,2150,1
Laptop,11.6,Good,Recycle,29,5,4.7,4124,2
Monitor,11.4,Broken,Recycle,36,24,11.5,5602,5
Laptop,4.4,Good,Recycle,49,28,7.4,5167,6
Peripherals,7.1,Fair,Recycle,41,26,2.9,5486,9
Smartphone,11.0,Fair,Recycle,39,18,1.2,4049,6
Smartphone,0.6,Dead,Recycle,20,21,3.8,546,9
Peripherals,9.8,Good,Recycle,57,14,14.2,4422,2
Smartphone,11.4,Fair,Recycle,44,25,12.8,9943,4
Smartphone,1.6,Good,Refurbish,36,2,6.9,4824,1
Smartphone,2.4,Broken,Recycle,26,15,7.5,3115,4
Monitor,11.5,Dead,Recycle,30,8,13.5,218,0
Monitor,6.7,Fair,Recycle,19,16,9.1,125,5
Tablet,0.7,Fair,Refurbish,53,3,13.3,9520,0
Laptop,3.5,Dead,Recycle,46,24,7.6,9415,5
Peripherals,5.7,Fair,Refurbish,28,20,3.4,4180,6
Peripherals,8.5,Fair,Recycle,51,20,11.0,5160,6
Peripherals,8.9,Fair,Recycle,21,28,8.1,2770,6
Tablet,11.9,Broken,Recycle,21,23,10.2,9766,6
Monitor,3.8,Good,Refurbish,18,5,2.8,1942,2
Tablet,6.7,Broken,Refurbish,42,4,9.9,4457,0
Peripherals,6.6,Fair,Recycle,43,23,6.0,1254,7
Laptop,5.2,Excellent,Refurbish,28,12,5.3,987,3
Smartphone,2.4,Broken,Recycle,40,19,10.2,7237,4
Monitor,11.7,Fair,Refurbish,19,15,9.1,8111,1
Monitor,10.3,Good,Recycle,36,25,9.9,7955,7
Tablet,6.2,Fair,Recycle,46,13,14.5,5353,1
Monitor,7.4,Dead,Recycle,57,5,10.7,9509,2
Peripherals,3.1,Dead,Recycle,21,12,9.8,1371,3
Peripherals,6.8,Dead,Recycle,33,19,9.4,360,4
Tablet,8.5,Dead,Recycle,64,2,6.3,8104,0
Peripherals,6.4,Excellent,Recycle,54,7,12.7,8549,1
Laptop,11.9,Fair,Recycle,44,28,6.0,7784,8
Tablet,7.5,Broken,Recycle,22,23,10.7,8088,3
Laptop,4.8,Fair,Refurbish,32,28,4.8,7729,9
Smartphone,9.4,Fair,Recycle,40,29,2.6,2783,10
Laptop,2.5,Fair,Refurbish,20,5,2.4,63,3
Smartphone,4.9,Fair,Recycle,35,20,9.7,2228,6
Smartphone,4.5,Dead,Recycle,60,29,5.3,3849,7
Laptop,5.5,Fair,Refurbish,43,11,4.5,6332,5
Tablet,9.5,Fair,Recycle,23,18,9.1,3938,3
Peripherals,6.1,Dead,Recycle,61,18,0.9,1515,7
Peripherals,9.6,Fair,Recycle,34,7,4.1,8771,1
Smartphone,7.1,Good,Recycle,63,10,5.4,6313,4
Smartphone,4.4,Fair,Refurbish,55,23,10.8,7786,3
Tablet,9.8,Broken,Recycle,59,20,8.4,2158,6
Monitor,3.2,Broken,Recycle,44,14,12.9,2125,1
Laptop,3.1,Broken,Recycle,37,20,5.4,6396,7
Smartphone,6.3,Broken,Recycle,23,20,4.8,2283,7
Peripherals,3.5,Good,Recycle,52,11,1.0,6236,5
Tablet,0.6,Dead,Recycle,29,2,14.3,7809,0
Laptop,8.0,Dead,Refurbish,20,13,7.8,3105,2
Tablet,6.4,Good,Recycle,21,13,7.8,3552,6
Laptop,5.6,Good,Refurbish,62,9,13.9,3475,1
Laptop,11.6,Dead,Recycle,21,17,4.7,1838,5
Smartphone,7.1,Dead,Recycle,21,15,5.3,8413,7
Tablet,10.4,Dead,Recycle,56,24,10.0,8053,5
Tablet,2.1,Dead,Recycle,38,22,11.9,895,5
Peripherals,7.0,Fair,Recycle,61,29,10.6,5609,8
Peripherals,10.5,Fair,Recycle,19,26,11.9,5913,6
Smartphone,7.2,Fair,Recycle,33,23,8.8,3411,7
Smartphone,8.8,Excellent,Refurbish,24,28,13.0,3008,6
Monitor,4.8,Broken,Recycle,36,21,8.5,9176,5
Peripherals,1.6,Fair,Refurbish,60,22,3.8,9824,7
Laptop,5.8,Fair,Refurbish,50,22,8.4,3670,8
Tablet,5.0,Fair,Refurbish,26,29,10.8,2890,10
Smartphone,10.5,Fair,Recycle,54,16,10.0,6285,4
Tablet,3.3,Good,Refurbish,34,25,4.0,1408,9
Tablet,11.6,Good,Recycle,44,10,1.1,3872,3
Monitor,11.5,Good,Recycle,50,29,4.2,4677,12
Peripherals,3.3,Good,Recycle,29,20,14.8,9527,4
Smartphone,4.5,Dead,Refurbish,62,28,3.2,7446,9
Tablet,10.8,Good,Recycle,28,27,7.2,6489,8
Smartphone,11.6,Good,Recycle,30,12,9.8,3458,4
Laptop,5.6,Fair,Refurbish,48,29,13.3,4397,7
Monitor,4.2,Fair,Refurbish,30,5,11.5,5883,0
Laptop,6.6,Good,Recycle,55,20,13.7,8088,5
Smartphone,8.4,Broken,Recycle,43,17,9.3,7406,3
Smartphone,3.6,Broken,Recycle,48,10,13.0,3600,3
Peripherals,9.0,Good,Recycle,39,6,4.3,7071,3
Tablet,1.1,Good,Refurbish,23,21,6.7,5468,6
Tablet,1.1,Dead,Recycle,37,20,12.7,5007,6
Laptop,4.9,Broken,Recycle,38,6,5.2,9567,1
Monitor,4.6,Broken,Recycle,27,12,13.1,6297,4
Tablet,4.1,Excellent,Refurbish,36,21,5.8,9725,6
Peripherals,6.1,Fair,Recycle,52,19,5.8,4690,5
Laptop,4.2,Fair,Refurbish,43,2,5.0,5686,2
Laptop,2.7,Good,Refurbish,24,13,8.4,3496,2
Peripherals,4.1,Fair,Refurbish,54,22,2.4,3472,4
Monitor,11.7,Fair,Recycle,25,20,1.0,7226,5
Peripherals,5.2,Good,Refurbish,22,11,13.5,9357,4
Monitor,5.6,Broken,Refurbish,61,15,14.0,4561,3
Peripherals,7.1,Broken,Recycle,53,13,1.6,7614,5
Peripherals,11.8,Good,Recycle,45,26,8.5,2358,8
Smartphone,3.3,Broken,Recycle,20,3,8.3,8250,1
Laptop,8.3,Good,Recycle,56,14,5.9,7257,4
Peripherals,8.7,Broken,Recycle,25,8,8.7,6213,1
Peripherals,7.5,Good,Recycle,32,28,7.1,8376,6
Tablet,1.5,Excellent,Refurbish,44,9,7.6,7605,1
Laptop,8.3,Fair,Recycle,53,15,11.5,2619,3
Tablet,1.2,Fair,Refurbish,33,23,8.1,9872,6
Laptop,7.4,Dead,Recycle,43,18,5.2,577,6
Tablet,9.0,Fair,Recycle,62,8,8.9,5243,1
Peripherals,2.9,Good,Refurbish,61,11,9.8,8262,1
Peripherals,10.2,Fair,Recycle,21,29,10.1,555,8
Smartphone,0.8,Fair,Refurbish,29,29,9.5,851,8
Tablet,10.2,Good,Recycle,34,27,10.1,9410,7
Monitor,5.8,Broken,Recycle,58,5,5.0,3640,2
Smartphone,3.0,Broken,Recycle,61,15,7.0,1912,7
Tablet,2.0,Dead,Recycle,43,15,10.2,2730,2
Tablet,11.5,Dead,Recycle,48,27,11.4,5419,5
Smartphone,1.3,Good,Refurbish,32,26,6.8,2365,5
Peripherals,2.8,Broken,Recycle,51,7,5.8,7538,2
Tablet,4.5,Fair,Refurbish,46,21,10.9,266,2
Peripherals,7.6,Broken,Recycle,26,18,3.7,3916,6
Smartphone,6.8,Fair,Recycle,31,28,0.6,7328,9
Peripherals,1.9,Dead,Recycle,53,12,7.3,9592,2
Laptop,3.8,Broken,Recycle,21,12,3.0,2326,5
Monitor,3.2,Dead,Recycle,55,4,6.0,2801,1
Tablet,3.0,Broken,Refurbish,54,29,4.7,5552,11
Monitor,5.2,Dead,Recycle,41,11,11.8,2034,3
Peripherals,8.6,Broken,Recycle,34,21,5.3,7453,6
Tablet,3.0,Fair,Refurbish,30,6,9.8,984,0
Peripherals,4.7,Good,Refurbish,37,21,10.3,4099,7
Laptop,5.0,Fair,Recycle,34,10,7.1,6463,4
Smartphone,11.7,Excellent,Recycle,44,27,1.7,1075,11
Tablet,11.5,Fair,Recycle,50,15,10.7,1023,0
Laptop,9.7,Fair,Recycle,38,1,1.6,3897,1
Laptop,3.3,Fair,Refurbish,34,17,1.9,6970,7
Tablet,1.3,Dead,Recycle,39,3,3.3,8471,3
Peripherals,4.1,Dead,Recycle,42,25,4.6,1111,8
Laptop,3.6,Good,Refurbish,20,11,12.8,9375,2
Monitor,6.3,Fair,Recycle,44,18,10.3,5080,3
Laptop,9.4,Fair,Recycle,44,10,6.1,7981,3
Peripherals,10.4,Fair,Recycle,63,21,14.7,2075,5
Peripherals,10.2,Broken,Recycle,29,9,4.0,3942,4
Monitor,4.6,Fair,Refurbish,32,7,9.3,271,0
Laptop,8.4,Fair,Recycle,55,11,12.8,9315,2
Peripherals,4.1,Dead,Recycle,37,8,12.1,9419,0
Tablet,1.2,Broken,Recycle,39,2,1.8,189,2
Smartphone,8.6,Good,Recycle,19,5,10.6,8737,0
Smartphone,0.6,Broken,Recycle,21,9,4.2,4014,1
Smartphone,5.2,Fair,Recycle,62,1,5.7,8142,3
Laptop,4.3,Good,Refurbish,30,17,7.6,4943,3
Monitor,8.5,Excellent,Recycle,49,10,12.0,4866,1
Peripherals,9.3,Fair,Refurbish,39,8,2.9,768,3
Tablet,4.0,Fair,Recycle,42,18,2.1,5166,3
Tablet,9.8,Good,Recycle,44,25,2.7,9202,9
Laptop,3.9,Broken,Recycle,34,10,3.7,7589,2
Smartphone,5.6,Broken,Recycle,23,9,1.4,4798,2
Laptop,8.9,Good,Recycle,60,4,13.9,464,1
Monitor,8.5,Excellent,Recycle,33,2,5.1,2600,0
Monitor,11.9,Broken,Recycle,25,19,3.1,916,7
Peripherals,3.1,Excellent,Refurbish,50,10,9.7,9644,2
Peripherals,8.1,Dead,Recycle,27,17,11.9,6126,4
Monitor,7.5,Fair,Recycle,51,3,11.4,7151,0
Monitor,11.0,Good,Recycle,36,21,10.9,65,5
Monitor,2.3,Good,Refurbish,31,19,1.2,9917,3
Laptop,9.1,Excellent,Recycle,20,19,11.8,9691,3
Monitor,7.0,Good,Recycle,58,26,7.8,1904,6
Tablet,3.7,Good,Refurbish,40,22,9.9,7193,7
Smartphone,6.0,Fair,Refurbish,57,19,14.4,4571,4
Monitor,4.3,Good,Refurbish,28,19,12.3,6716,4
Smartphone,7.2,Fair,Recycle,64,15,12.5,9078,6
Laptop,10.7,Fair,Recycle,23,25,3.1,6973,5
Smartphone,7.0,Good,Recycle,51,18,7.4,3808,7
Laptop,7.8,Excellent,Recycle,18,17,14.3,7565,3
Tablet,6.5,Excellent,Refurbish,52,10,8.9,7861,1
Laptop,1.1,Excellent,Refurbish,42,24,2.0,1960,7
Laptop,3.2,Broken,Recycle,46,29,11.1,2747,7
Peripherals,6.2,Good,Refurbish,40,14,1.1,43,7
Monitor,4.1,Broken,Recycle,35,19,11.3,3842,5
Monitor,2.6,Fair,Refurbish,31,23,13.3,4705,6
Tablet,6.3,Fair,Recycle,34,18,6.7,1888,4
Tablet,4.2,Fair,Refurbish,19,11,6.5,3898,3
Monitor,3.5,Broken,Recycle,48,11,4.9,5883,5
Peripherals,5.8,Good,Recycle,36,12,13.2,8911,4
Monitor,2.0,Good,Refurbish,49,8,8.4,690,0
Peripherals,11.2,Fair,Recycle,45,16,8.9,6842,5
Tablet,10.5,Good,Recycle,58,25,10.1,8301,6
Smartphone,8.6,Fair,Recycle,25,24,4.9,4558,8
Tablet,1.7,Fair,Refurbish,59,8,6.8,8706,1
Tablet,9.4,Fair,Recycle,58,24,11.3,7720,8
Laptop,9.8,Fair,Recycle,57,14,14.8,8828,3
Laptop,9.3,Fair,Recycle,56,23,1.0,3328,7
Laptop,1.8,Broken,Recycle,39,18,1.1,5312,5
Laptop,7.9,Broken,Recycle,41,24,6.7,626,8
Peripherals,10.1,Fair,Recycle,55,21,10.1,69,6
Monitor,7.1,Broken,Refurbish,19,22,6.1,7549,7
Smartphone,7.9,Dead,Recycle,58,4,15.0,5613,0
Tablet,5.8,Fair,Refurbish,58,17,3.3,4319,7
Peripherals,6.6,Fair,Recycle,36,13,0.6,5961,4
Smartphone,0.9,Broken,Recycle,58,5,3.3,3977,1
Peripherals,7.8,Fair,Recycle,19,3,13.4,7500,3
Peripherals,1.4,Excellent,Refurbish,45,9,2.6,8059,4
Tablet,5.5,Dead,Recycle,49,20,7.4,6784,5
Monitor,3.9,Excellent,Refurbish,36,26,6.6,1634,7
Laptop,6.8,Broken,Recycle,33,18,10.2,2543,4
Monitor,2.0,Broken,Recycle,47,20,1.3,7353,9
Tablet,8.5,Dead,Refurbish,39,19,10.1,768,6
Tablet,9.6,Excellent,Recycle,31,19,5.6,5764,5
Tablet,2.4,Fair,Refurbish,18,21,13.9,2603,4
Smartphone,1.7,Fair,Refurbish,62,16,12.8,991,1
Monitor,2.2,Good,Refurbish,19,1,6.3,9920,0
Monitor,10.6,Excellent,Recycle,39,5,14.9,9721,0
Peripherals,6.6,Fair,Recycle,63,24,1.3,488,6
Peripherals,5.9,Fair,Refurbish,50,15,11.9,8179,3
Peripherals,1.7,Good,Refurbish,32,26,6.8,4152,4
Tablet,8.0,Fair,Recycle,58,12,6.8,511,7
Monitor,10.5,Broken,Recycle,39,25,3.0,5697,7
Tablet,10.0,Broken,Recycle,57,28,8.0,734,9
Smartphone,7.7,Dead,Recycle,56,1,1.7,5678,3
Peripherals,1.4,Fair,Refurbish,58,14,9.4,3309,4
Tablet,1.8,Dead,Recycle,58,18,4.0,8562,6
Tablet,1.1,Dead,Recycle,28,18,11.0,4701,3
Smartphone,3.5,Good,Recycle,21,6,9.3,1859,0
Laptop,2.1,Good,Refurbish,24,1,11.3,7719,0
Monitor,3.5,Fair,Refurbish,38,27,11.4,916,7
Laptop,4.9,Fair,Refurbish,24,17,3.4,6909,5
Peripherals,11.3,Fair,Recycle,21,18,0.5,7264,5
Tablet,7.5,Fair,Recycle,29,15,5.8,6681,6
Smartphone,10.1,Broken,Recycle,44,12,13.8,2662,0
Smartphone,8.7,Fair,Recycle,34,13,8.9,4692,4
Monitor,1.8,Good,Refurbish,37,20,11.0,9429,6
Laptop,9.0,Dead,Recycle,48,2,13.3,1335,0
Monitor,3.7,Good,Refurbish,43,4,13.6,5050,2
Tablet,7.8,Dead,Refurbish,48,3,8.2,761,1
Monitor,4.4,Good,Refurbish,52,19,8.3,2131,7
Smartphone,12.0,Dead,Recycle,26,25,12.8,4814,2
Smartphone,3.5,Excellent,Refurbish,22,8,12.2,9140,2
Peripherals,3.7,Good,Refurbish,25,12,10.6,301,3
Peripherals,11.2,Excellent,Recycle,38,12,9.3,7740,4
Tablet,0.8,Broken,Recycle,33,10,9.4,3694,3
Laptop,8.5,Dead,Recycle,33,25,5.8,2701,7
Monitor,8.8,Fair,Recycle,35,1,12.7,9667,0
Tablet,10.1,Dead,Recycle,64,28,9.5,8805,10
Peripherals,11.7,Fair,Recycle,45,5,3.7,6214,0
Monitor,11.7,Fair,Recycle,35,28,4.0,5644,10
Peripherals,1.3,Broken,Recycle,31,28,13.0,5520,7
Monitor,10.0,Good,Recycle,54,20,9.6,668,4
Laptop,7.9,Fair,Recycle,57,11,6.3,2128,1
Tablet,7.9,Dead,Recycle,33,9,3.2,6738,4
Monitor,2.0,Dead,Recycle,38,14,9.3,217,6
Smartphone,8.0,Dead,Recycle,18,3,3.2,8940,1
Smartphone,11.8,Dead,Recycle,28,5,7.3,4220,2
Monitor,11.0,Good,Recycle,28,24,10.3,8392,6
Monitor,5.6,Broken,Recycle,19,26,8.7,2621,5
Monitor,1.0,Fair,Refurbish,49,21,13.9,5139,4
Smartphone,4.7,Dead,Recycle,36,9,1.1,721,2
Smartphone,10.0,Fair,Recycle,22,18,4.6,9143,4
Monitor,8.6,Fair,Recycle,20,6,1.3,1881,2
Peripherals,5.8,Fair,Recycle,45,21,3.3,1432,6
Peripherals,1.1,Good,Refurbish,43,25,2.3,5181,10
Laptop,5.4,Excellent,Refurbish,40,7,11.1,2320,1
Tablet,5.9,Dead,Recycle,47,16,5.9,6950,3
Peripherals,11.2,Broken,Recycle,25,8,13.9,9968,2
Smartphone,7.9,Good,Recycle,53,23,0.8,7177,8
Peripherals,4.1,Broken,Recycle,46,29,10.0,8890,8
Laptop,6.5,Fair,Recycle,30,10,14.6,621,2
Laptop,1.3,Fair,Refurbish,42,26,3.0,459,8
Tablet,11.7,Good,Recycle,39,5,6.9,9276,0
Peripherals,4.6,Dead,Recycle,63,11,10.7,7225,3
Smartphone,6.0,Broken,Recycle,50,29,9.7,8491,9
Smartphone,4.6,Fair,Recycle,54,21,8.7,9467,6
Monitor,8.3,Fair,Recycle,24,13,5.2,9622,5
Smartphone,8.1,Excellent,Recycle,40,27,11.1,8141,7
Tablet,8.7,Fair,Recycle,23,20,10.0,5375,4
Tablet,3.6,Good,Refurbish,32,2,2.9,3452,0
Smartphone,4.1,Good,Refurbish,32,14,14.5,7312,4
Smartphone,1.9,Broken,Recycle,57,9,8.6,5925,2
Monitor,8.0,Dead,Recycle,51,10,8.1,1821,1
Smartphone,1.0,Fair,Refurbish,31,10,12.8,6431,0
Monitor,7.4,Good,Recycle,46,28,9.8,988,5
Monitor,10.5,Fair,Recycle,33,10,1.6,8405,5
Smartphone,10.7,Dead,Recycle,46,26,7.8,531,8
Laptop,5.7,Broken,Recycle,40,19,11.8,2917,7
Laptop,5.8,Dead,Recycle,27,11,10.6,6885,3
Monitor,1.4,Fair,Refurbish,64,11,14.6,3619,2
Smartphone,8.2,Broken,Recycle,21,3,0.9,6564,5
Laptop,9.9,Good,Recycle,29,19,4.3,3060,4
Smartphone,3.3,Good,Refurbish,59,24,8.5,9800,4
Smartphone,5.3,Fair,Refurbish,51,22,9.5,2524,7
Smartphone,10.1,Fair,Recycle,21,1,4.5,689,0
Peripherals,10.6,Dead,Recycle,37,12,12.5,1100,3
Smartphone,3.3,Dead,Recycle,45,29,2.9,8310,11
Peripherals,6.8,Good,Refurbish,45,15,0.5,5301,7
Monitor,2.7,Good,Refurbish,23,14,14.3,8697,5
Laptop,1.7,Fair,Refurbish,31,3,6.2,7817,0
Laptop,11.0,Good,Recycle,52,20,14.4,2200,5
Laptop,9.9,Fair,Recycle,64,13,4.5,9233,3
Laptop,9.2,Dead,Recycle,18,18,1.4,496,9
Laptop,1.1,Dead,Recycle,36,16,11.7,4174,4
Laptop,10.2,Broken,Recycle,18,6,12.6,8250,1
Laptop,5.5,Broken,Recycle,30,10,7.6,5530,2
Monitor,4.4,Fair,Refurbish,25,28,1.6,6969,8
Smartphone,6.8,Good,Recycle,35,17,10.0,1653,5
Tablet,1.6,Fair,Recycle,52,17,3.1,7246,8
Peripherals,9.2,Fair,Recycle,40,8,12.8,9898,3
Tablet,7.2,Broken,Recycle,43,4,4.5,243,2
Tablet,2.6,Good,Refurbish,58,15,12.8,2255,2
Smartphone,2.7,Fair,Refurbish,55,1,6.7,6999,1
Smartphone,2.6,Fair,Refurbish,37,7,9.1,9866,3
Smartphone,1.2,Dead,Recycle,19,25,11.9,6743,6
Laptop,7.3,Fair,Recycle,43,10,1.1,2692,3
Monitor,10.2,Broken,Recycle,53,7,12.4,6073,2
Laptop,0.7,Broken,Recycle,42,1,2.5,8230,0
Monitor,1.1,Good,Refurbish,47,17,5.7,3247,4
Monitor,7.1,Fair,Recycle,35,12,7.4,6621,3
Tablet,9.9,Dead,Recycle,24,17,13.5,1615,4
Tablet,4.3,Fair,Refurbish,44,15,0.8,19,5
Monitor,4.5,Dead,Recycle,28,24,8.6,220,6
Monitor,7.4,Good,Recycle,54,16,9.8,3771,4
Laptop,3.7,Excellent,Refurbish,25,23,5.1,7321,6
Laptop,0.8,Dead,Recycle,28,14,4.7,6606,7
Tablet,9.0,Broken,Recycle,41,3,7.6,7576,3
Smartphone,7.7,Dead,Recycle,47,19,3.2,8442,6
Monitor,7.2,Broken,Recycle,47,12,7.3,7828,2
Laptop,9.0,Dead,Recycle,32,19,11.6,506,4
Tablet,8.3,Broken,Recycle,52,18,12.8,4741,5
Laptop,2.9,Broken,Recycle,56,14,6.1,9060,4
Monitor,4.6,Fair,Refurbish,41,20,9.5,4587,3
Monitor,2.0,Fair,Refurbish,25,23,0.5,6438,8
Peripherals,2.0,Dead,Recycle,60,9,8.5,6600,3
Smartphone,8.3,Fair,Recycle,59,3,14.6,9361,0
Peripherals,10.4,Fair,Refurbish,37,26,5.0,5357,10
Tablet,11.6,Fair,Recycle,58,23,9.1,739,5
Laptop,7.7,Fair,Recycle,64,12,11.6,9982,1
Tablet,2.6,Fair,Refurbish,43,20,9.3,8615,5
Monitor,1.7,Excellent,Recycle,41,17,6.6,3055,3
Peripherals,9.8,Dead,Recycle,39,5,2.7,4387,1
Peripherals,7.2,Fair,Recycle,22,8,7.2,2203,1
Peripherals,7.6,Fair,Recycle,32,19,4.8,3922,6
Tablet,9.5,Good,Recycle,53,26,10.6,1957,5
Monitor,8.6,Excellent,Recycle,54,4,6.9,5326,2
Laptop,10.1,Good,Recycle,46,15,12.8,1789,5
Laptop,1.1,Broken,Recycle,32,19,3.3,6401,4
Tablet,9.1,Excellent,Recycle,44,15,6.6,584,2
Peripherals,10.3,Dead,Recycle,25,26,8.6,6178,6
Smartphone,3.8,Good,Refurbish,46,14,2.3,3200,4
Tablet,7.9,Good,Recycle,36,16,9.0,1342,6
Tablet,4.1,Good,Refurbish,48,24,4.7,4190,7
Monitor,11.5,Excellent,Refurbish,26,10,3.8,9400,4
Laptop,0.9,Broken,Recycle,27,24,2.6,4785,8
Tablet,7.2,Dead,Recycle,54,14,5.6,9357,3
Tablet,2.4,Fair,Refurbish,27,20,14.0,4756,4
Peripherals,8.7,Good,Refurbish,50,11,0.9,6025,4
Peripherals,2.5,Good,Refurbish,42,2,12.9,7455,0
Smartphone,3.2,Fair,Refurbish,21,28,6.3,1062,6
Monitor,6.2,Dead,Recycle,22,19,8.6,8717,4
Smartphone,11.0,Good,Recycle,40,3,7.9,4502,0
Peripherals,2.9,Broken,Recycle,56,4,13.9,9574,0
Laptop,2.2,Fair,Refurbish,22,11,11.7,4981,0
Peripherals,9.2,Good,Recycle,25,13,14.8,6612,1
Monitor,6.3,Fair,Refurbish,34,18,12.0,4968,2
Peripherals,11.0,Excellent,Recycle,18,18,4.8,6066,8
Monitor,2.2,Broken,Recycle,29,19,14.5,5400,3
Monitor,7.9,Good,Refurbish,52,12,14.8,5684,2
Monitor,3.2,Broken,Recycle,31,1,2.3,6838,0
Monitor,2.3,Excellent,Refurbish,35,24,13.6,7353,6
Monitor,8.4,Dead,Recycle,27,6,10.1,1987,2
Laptop,7.3,Good,Recycle,32,3,13.9,4067,0
Smartphone,9.2,Dead,Recycle,59,17,13.8,5068,2
Tablet,4.1,Broken,Recycle,50,3,13.4,4104,0
Smartphone,5.7,Dead,Recycle,36,1,13.3,8877,0
Monitor,5.2,Fair,Refurbish,51,3,2.2,7806,2
Laptop,11.8,Broken,Recycle,62,4,2.6,6654,3
Peripherals,3.9,Fair,Refurbish,42,6,2.2,3734,0
Laptop,3.9,Good,Refurbish,33,7,1.8,6804,4
Monitor,4.6,Fair,Recycle,25,23,5.6,1241,8
Laptop,7.0,Good,Recycle,52,25,10.4,3500,2
Laptop,3.4,Dead,Recycle,38,8,5.6,9853,1
Monitor,11.0,Excellent,Recycle,36,13,10.9,5730,2
Laptop,3.6,Fair,Refurbish,63,4,12.4,5530,1
Tablet,10.8,Fair,Recycle,28,6,10.2,3261,1
Tablet,1.7,Fair,Recycle,61,11,7.2,7264,1
Laptop,8.1,Broken,Recycle,28,1,4.8,3843,3
Peripherals,10.9,Good,Recycle,28,8,2.3,4825,2
Monitor,2.4,Fair,Recycle,39,22,7.7,1981,5
Tablet,11.6,Good,Refurbish,38,2,10.9,647,0
Peripherals,5.7,Dead,Recycle,44,8,8.4,3923,1
Laptop,11.4,Broken,Recycle,35,20,11.0,1982,6
Peripherals,8.3,Dead,Recycle,59,9,5.4,5255,1
Smartphone,4.0,Excellent,Refurbish,57,4,1.5,2019,2
Tablet,2.7,Good,Recycle,55,17,11.7,9014,4
Laptop,4.0,Good,Refurbish,47,7,3.7,4674,2
Monitor,1.6,Excellent,Refurbish,62,10,9.4,8071,3
Laptop,2.2,Good,Refurbish,64,5,12.2,6980,1
Monitor,1.7,Broken,Recycle,62,10,2.5,2832,4
Laptop,5.4,Good,Recycle,50,27,9.2,9212,9
Peripherals,9.6,Fair,Recycle,38,12,10.5,9273,1
Peripherals,2.1,Dead,Recycle,19,21,11.3,7102,4
Peripherals,2.0,Broken,Refurbish,30,20,2.6,5991,5
Smartphone,7.9,Fair,Recycle,19,6,12.5,4208,1
Monitor,2.8,Fair,Refurbish,60,1,1.9,3675,3
Peripherals,1.6,Fair,Refurbish,62,3,8.0,1779,0
Smartphone,2.4,Good,Refurbish,48,27,6.9,4696,8
Monitor,11.1,Fair,Recycle,27,28,3.7,4537,6
Laptop,9.9,Fair,Recycle,40,7,4.9,8419,2
Smartphone,4.6,Dead,Recycle,39,11,2.9,873,1
Tablet,8.0,Broken,Refurbish,64,24,6.7,4766,7
Smartphone,6.7,Fair,Recycle,46,12,1.0,3428,2
Smartphone,8.3,Fair,Recycle,50,9,13.4,9483,4
Monitor,8.4,Good,Recycle,48,1,2.9,5604,1
Laptop,7.7,Broken,Recycle,31,4,13.3,9219,0
Tablet,3.6,Fair,Refurbish,27,2,13.0,3549,2
Peripherals,0.9,Good,Refurbish,35,2,7.0,8312,0
